"ID","UPA","EventDate","Employer","Address1","Address2","City","State","Zip","Latitude","Longitude","Primary NAICS","Hospitalized","Amputation","Inspection","Final Narrative","Nature","NatureTitle","Part of Body","Part of Body Title","Event","EventTitle","Source","SourceTitle","Secondary Source","Secondary Source Title"
"20161110501","1154763",11/8/2016,"Southwestern Public Service Company","304 N. Nelson",,"AMARILLO","TEXAS","79108",35.21,-101.80,"221121",1.00,0.00,,"An employee was exiting the driver side of a line truck when he slipped off the top step and fell to the pavement, fracturing his vertebrae.","111","Fractures","320","Back, including spine, spinal cord, unspecified","4331","Other fall to lower level less than 6 feet","8422","Boom truck, bucket or basket hoist truck",,
"20161110502","1154303",11/8/2016,"J. G. MacLellan Concrete Co., Inc.","180 Phoenix Avenue",,"LOWELL","MASSACHUSETTS","01852",42.62,-71.27,"327320",1.00,1.00,"1190370","While operating a forklift, an employee struck a truck that was being repaired. The employee then attempted to reverse the forklift while a hand was on the outside of the roll bar, but went forward instead. The employee's right pinky finger was caught and amputated between the forklift's roll bar and the truck.","1311","Amputations","4429","Finger(s), fingernail(s), n.e.c.","2713","Collision between a moving and standing vehicle, nonroadway","8621","Forklift, order picker, platform truck-powered","8420","Truck-motorized freight hauling and utility, unspecified"
"20161110503","1155474",11/8/2016,"McCabe Industrial Minerals, Inc.","1440 Woodland Rd.",,"DAVIS","OKLAHOMA","73030",34.50,-97.11,"212319",1.00,0.00,"1192500","An employee was cleaning electrical contacts when an arc flash occurred, burning the employee's arm.","1530","Electrical burns, unspecified","420","Arm(s), unspecified","5110","Direct exposure to electricity, unspecified","4410","Electric parts, unspecified",,
"20161110504","1153932",11/8/2016,"Formosa Plastics Corporation, Texas","201 Formosa Drive",,"POINT COMFORT","TEXAS","77978",28.67,-96.55,"325211",1.00,1.00,"1189701","An employee was cleaning an auger when he dropped a tool in the machine. The moving auger amputated his finger as he attempted to retrieve the tool.","1311","Amputations","4429","Finger(s), fingernail(s), n.e.c.","6311","Struck against moving part of machinery or equipment","30","Machinery, unspecified",,
"20161110505","1154290",11/8/2016,"Mauser USA LLC","14 Convery Blvd.",,"WOODBRIDGE","NEW JERSEY","07095",40.54,-74.27,"332439",0.00,1.00,"1189861","An employee was performing maintenance on a conveyor when a roller caught and amputated the employee's left middle and ring fingertips.","1311","Amputations","4422","Fingertip(s)","6411","Caught in running equipment or machinery during maintenance, cleaning ","3424","Conveyors-live roller",,
"20161110507","1154054",11/8/2016,"Westfalia Technologies, Incorporated","3655 SANDHURST DRIVE",,"YORK","PENNSYLVANIA","17406",40.02,-76.73,"333922",1.00,0.00,"1192296","An employee was polishing a metal shaft on a lathe when their hand was pulled into the lathe tearing skin and muscle.","1312","Avulsions, enucleations","440","Hand(s), unspecified","6412","Caught in running equipment or machinery during regular operation","3551","Metalworking lathes",,
"20161110508","1154512",11/8/2016,"Century Fire Protection","5800 Mesa Dr.",,"HOUSTON","TEXAS","77028",29.81,-95.26,"238220",1.00,0.00,,"An employee was replacing a sprinkler pipe while standing on a trestle ladder. As he was tightening the sprinkler pipe with a pipe wrench, he lost his grip and fell from the ladder, injuring his head, back, and left shoulder. He was hospitalized.","1972","Soreness, pain, hurt-nonspecified injury","899","Multiple body parts, n.e.c.","4330","Other fall to lower level, unspecified","7429","Movable ladders, n.e.c.",,
"20161110509","1154326",11/8/2016,"Builder Services Group, Inc.","4994 W Robinson St.",,"ORLANDO","FLORIDA","32811",28.54,-81.44,"238160",1.00,1.00,"1191171","An employee was using a metal shear when the shear guard came down and crushed his left ring finger, amputating the fingertip.","1311","Amputations","4422","Fingertip(s)","6412","Caught in running equipment or machinery during regular operation","3512","Shearing machines",,
"20161110510","1154971",11/8/2016,"Walmart Stores, Inc.","4100 W. Airport Fwy",,"IRVING","TEXAS","75062",32.83,-97.00,"452111",1.00,0.00,,"An employee was working in the fitting room area when she felt dizzy, experienced a racing heart, and passed out due to dehydration. She was hospitalized.","1729","Effects of heat and light, n.e.c.","6","BODY SYSTEMS","531","Exposure to environmental heat","9262","Heat-environmental",,
"20161110511","1154380",11/8/2016,"KS Energy Services, LLC.","Calumet Ave at 27th St.",,"SHEBOYGAN","WISCONSIN","53083",43.78,-87.75,"237110",1.00,0.00,"1189920","An employee was struck by a car in a work zone, suffering a head laceration, leg and torso bruising, and internal injuries.","189","Multiple traumatic injuries and disorders, n.e.c.","83","Head and trunk","2412","Pedestrian struck by forward-moving vehicle in work zone ","8413","Automobile",,
